STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-02-23,,,25,33,20,21,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-02-24,,,21,29,15,15,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-02-25,,,17,22,11,14,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-02-26,,,13,20,10,12,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-02-27,,,17,26,8,19,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-02-28,,,22,35,15,20,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-01,,,24,35,18,23,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-02,,,21,30,15,16,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-03,,,13,26,6,7,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-04,,,13,24,5,12,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-05,,,18,25,12,21,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-06,,,24,29,20,24,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-07,,,25,33,18,23,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-08,,,23,38,17,18,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-09,,,22,35,16,18,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-10,,,24,38,18,21,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-11,,,30,41,21,31,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-12,,,30,39,23,25,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-03-13,,,29,41,24,24,,,,
